,unigramCost,bigramCost,parsed_CommentCount,parsed_BodyLength,parsed_UserReputation,parsed_UserViews,parsed_UserUpVotes,parsed_UserDownVotes,InlineCode,BlockCode,BlockCodeLine,Hyperlink,Edit,Label
0,9.115800146263037,12.04476583510464,0,314,1885,314,329,9,2,0,0,0,0,0
1,13.229891486619751,12.397501552648935,1,937,164847,15327,4764,689,1,2,27,0,0,0
2,9.453282563300263,12.062431827314867,3,797,32030,6496,2364,2881,4,2,8,0,1,1
3,9.172687570611872,12.216894571121525,0,1348,1517,119,37,8,12,3,3,0,0,1
4,10.230358620279029,12.215700049883788,0,480,11489,715,40,13,1,1,10,0,1,0
5,9.548105968678325,12.412561843214641,0,261,158002,8267,564,3550,0,0,0,0,0,1
6,8.992127961222211,12.163337708619384,2,886,124214,7724,5618,743,4,1,7,3,1,1
7,10.434371855013715,12.260593867822815,0,892,42745,9720,6722,648,3,2,16,0,0,0
8,9.657124831582713,12.209910911873445,0,421,75,19,2,0,0,2,7,0,0,0
9,9.131413269902836,12.14852928015888,0,331,5059,1791,4415,3,3,1,2,0,1,0
10,9.654148844386578,12.23362308742754,2,851,109049,18235,7890,3496,7,1,10,0,1,1
11,9.548311564984132,12.253896150451714,0,700,477375,68451,6422,3351,4,3,3,0,1,0
12,10.460933842073917,12.294176643077192,0,307,3260,302,2014,6,0,1,12,0,0,0
13,8.558597765443754,11.96186890895132,0,501,1167,164,509,31,1,2,11,0,0,0
14,9.185336503271737,12.116543552686705,0,257,1232,259,570,6,0,1,1,0,0,0
15,9.96817986388394,12.379206283693962,0,291,38,10,26,0,0,1,1,0,0,0
16,11.047289232117512,12.37355737278299,1,767,23302,2751,885,2671,0,1,28,0,0,1
17,9.232515632422775,12.160608997229614,6,488,75,19,2,0,0,1,13,0,1,0
18,9.28874990704426,12.249905775182409,0,195,2207,217,474,29,0,1,4,0,0,1
19,9.320694400507056,12.185633316896824,4,6606,32843,1871,2095,286,18,5,65,6,1,0
20,9.180337523770376,12.327836622588627,0,778,1885,314,329,9,0,2,20,0,1,0
21,8.689003957050232,12.213900233055147,4,1172,14759,2156,334,10,0,1,26,1,0,1
22,10.41745688330844,12.243200328625033,0,487,109049,18235,7890,3496,3,1,7,0,0,0
23,10.366641572213476,12.308465838554886,0,817,637,106,691,7,0,2,18,0,0,0
24,9.322576578385352,12.091574766824502,1,1354,2077,80,176,9,8,3,10,0,0,1
25,9.457702497952553,12.280475478165314,1,402,2791,268,408,864,2,0,0,0,1,1
26,10.861694846593846,12.331434765759877,0,1440,546,174,5,0,6,2,24,1,0,1
27,10.356324683139324,12.301381180207414,4,2058,56,4,2,0,6,2,28,0,1,1
28,9.770666885635114,12.006942076375987,0,585,130801,8991,3044,37,1,4,11,0,0,1
29,8.045276201243265,11.799838652348681,0,368,1824,199,871,21,3,1,1,1,0,1
30,8.776582749349433,12.080820227749365,0,921,3929,358,173,44,1,1,2,2,1,1
